context,question,answer,start_position,end_position
"XVII ғасырдың аяғы мен XVIII ғасырдың басында Тәуке хан бiрiктiрген Қазақ хандығы Орталық Азиядағы халықаралық қатынастарда белдi орын алды. Жайылымдық жер үшiн қырқысқан руаралық тартыстарды уақытша болса да тоқтатқан Тәуке тұсында мемлекет Қасым, Хақназар және Тәуекел хандар кезiндегiден әлдеқайда қуатты болды.",Тәуке хан бiрiктiрген Қазақ хандығы Орталық Азиядағы халықаралық қатынастарда қандай орын алды?,белдi орын алды,124,139
"XVII ғасырдың аяғы мен XVIII ғасырдың басында Тәуке хан бiрiктiрген Қазақ хандығы Орталық Азиядағы халықаралық қатынастарда белдi орын алды. Жайылымдық жер үшiн қырқысқан руаралық тартыстарды уақытша болса да тоқтатқан Тәуке тұсында мемлекет Қасым, Хақназар және Тәуекел хандар кезiндегiден әлдеқайда қуатты болды.",Қазақ хандығынң рулары Тәуке хан тұсында бірін-бірімен не үшін қырқысты? ,Жайылымдық жер үшiн қырқысқан,141,170
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Тәукенің өлімінен кейін қазақ жеріне не болды?,қазақ жерi тағы ыдырай бастады,31,61
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Тәукенің мирасқоры кім?,Қайып,82,87
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Қайып не істей алмады?,елдiң басын құрай алмады,88,112
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Тәукенiң мирасқоры Қайып не істей алмады?,елдiң басын құрай алмады,88,112
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Кіші жүз билеушілерінің бірі кім болды?,Әбiлқайыр,189,198
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Әбiлқайыр қай жылдардан бастап билік құра бастады?,ХVIII ғасырдың 20-жылдарынан бастап,199,234
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",кіші жүз билеушісі Әбiлқайыр Қайып ханға тәуелділігін мойындады ма?? ,Алғашында Қайып ханға тәуелдiлiгiн мойындаған,114,159
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Әбілхайырда халық алдында қандай қабілеттер бар болды?,"қолбасшылық, елшiлiк",346,366
"Алайда Тәукенiң өлiмiнен кейiн қазақ жерi тағы ыдырай бастады. Тәукенiң мирасқоры Қайып елдiң басын құрай алмады. Алғашында Қайып ханға тәуелдiлiгiн мойындаған Кiшi жүз билеушiлерiнiң бiрi Әбiлқайыр ХVIII ғасырдың 20-жылдарынан бастап-ақ, өз алдына билiк құра бастады. Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен Әбiлқайыр қолбасшылық, елшiлiк қабiлеттерiн халыққа таныта алды.",Қазақ халқының жоңғар шапқыншылығына қарсы күресiне басшылық еткен кім?,Әбiлқайыр,189,198
"Жоңғар хандығы XVII ғасырдың 40-жылдарынан бастап қазақ жерiне сан рет жойқын жорықтар ұйымдастырды. Жоңғарияның мақсаты қазақ елiнiң тәуелсiздiгiн жойып, 8 ұлан-байтақ жердi өзiне қарату болды. Шамамен 1710—1717 жылдар аралығында жоңғардың қалың қолы қазақ жерiне басып кiрiп, халықты қан қақсатты",Жоңғар хандығы қай ғасырдан бастап қазақ жеріне жорықтар ұйымдастырды?,XVII ғасыр,15,25
